"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"127","Ben Yurosek (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"128","Giovanni Ricci (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Tre Watson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"130","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0",""
"131","Parker Hesse (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"132","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0",""
"133","Scotty Washington (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Patrick Herbert (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"135","Bryce Pierre (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"136","John Copenhaver (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"137","Zach Horton (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"138","Marshall Lang (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"139","JJ Galbreath (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"140","Feleipe Franks (ATL)","1","3","12","12.0","12","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"141","Brayden Willis (SF)","0","2","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"142","Keleki Latu (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"143","CJ Dippre (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"144","Zack Kuntz (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"145","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"146","Travis Vokolek (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"147","Leroy Watson IV (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0",""
"148","Jake Tonges (SF)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"149","Rodney Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"150","Zaire Mitchell-Paden (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"151","Thomas Odukoya (TEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"152","Johnny Lumpkin (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"153","Thomas Yassmin (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"154","Jack Westover (NE)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"155","Brenden Bates (CLE)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"156","Messiah Swinson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
