"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"112","Adonai Mitchell (IND)","23","55","312","13.6","36","4","0","4","6","0","1","17","53.8","3.2","4.6%"
"113","JuJu Smith-Schuster (KC)","18","26","231","12.8","50","3","2","0","0","0","0","14","53.1","3.8","1.2%"
"114","Jordan Whittington (LAR)","22","28","293","13.3","50","4","0","2","12","0","0","15","52.5","3.5","1.8%"
"115","Cedrick Wilson Jr. (NO)","20","27","211","10.6","25","1","1","0","0","0","1","15","49.9","3.3","1.1%"
"116","Nelson Agholor (FA)","14","29","231","16.5","56","5","2","0","0","0","0","13","49.1","3.8","1.0%"
"117","DJ Turner (FA)","16","29","158","9.9","30","2","1","5","33","1","0","13","47.1","3.6","1.0%"
"118","Jahan Dotson (PHI)","19","33","216","11.4","36","2","0","1","13","0","0","17","41.9","2.5","1.1%"
"119","Derius Davis (LAC)","13","17","112","8.6","23","1","2","12","39","0","0","15","40.1","2.7","0.6%"
"120","Josh Reynolds (NYJ)","13","24","194","14.9","49","4","1","0","0","0","0","8","38.4","4.8","1.8%"
"121","Robert Woods (PIT)","20","30","203","10.2","32","2","0","0","0","0","1","14","38.3","2.7","0.7%"
"122","Ryan Miller (TB)","12","20","128","10.7","39","2","2","0","0","0","0","11","36.8","3.3","1.0%"
"123","Tylan Wallace (BAL)","11","12","193","17.5","84","2","1","0","0","0","0","17","36.3","2.1","0.6%"
"124","Jalen Brooks (DAL)","12","30","177","14.8","41","2","1","0","0","0","0","14","35.7","2.6","1.0%"
"125","Trey Palmer (NO)","12","22","172","14.3","27","2","1","0","0","0","0","15","35.2","2.3","0.6%"
"126","Luke McCaffrey (WAS)","18","24","168","9.3","30","2","0","0","0","0","0","17","34.8","2.0","1.0%"
"127","Mecole Hardman Jr. (GB)","12","14","90","7.5","17","0","0","5","62","1","0","12","33.2","2.8","1.1%"
"128","Ja'Lynn Polk (NE)","12","33","87","7.3","21","1","2","1","0","0","0","15","32.7","2.2","0.6%"
"129","Jonathan Mingo (DAL)","17","42","167","9.8","35","2","0","2","5","0","1","16","32.2","2.0","0.6%"
"130","KhaDarel Hodge (ATL)","7","12","131","18.7","45","3","1","0","0","0","0","16","32.1","2.0","0.7%"
"131","Dante Pettis (FA)","12","28","120","10.0","20","1","1","0","0","0","0","8","32.0","4.0","1.0%"
"132","Malik Heath (GB)","10","13","97","9.7","41","1","2","0","0","0","0","12","31.7","2.6","1.0%"
