"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"124","Trey Palmer (TB)","12","22","172","14.3","27","2","1","0","0","0","0","15","23.2","1.5","0.1%"
"125","Jahan Dotson (PHI)","19","33","216","11.4","36","2","0","1","13","0","0","17","22.9","1.3","0.6%"
"126","Malik Heath (GB)","10","13","97","9.7","41","1","2","0","0","0","0","12","21.7","1.8","0.0%"
"127","Mecole Hardman Jr. (GB)","12","14","90","7.5","17","0","0","5","62","1","0","12","21.2","1.8","0.1%"
"128","Ja'Lynn Polk (NE)","12","33","87","7.3","21","1","2","1","0","0","0","15","20.7","1.4","0.1%"
"129","Dante Pettis (NO)","12","28","120","10.0","20","1","1","0","0","0","0","8","20.0","2.5","0.0%"
"130","Robert Woods (PIT)","20","30","203","10.2","32","2","0","0","0","0","1","14","18.3","1.3","0.1%"
"131","Bub Means (NO)","9","15","118","13.1","36","1","1","0","0","0","0","7","17.8","2.5","0.0%"
"132","Jamison Crowder (FA)","9","13","72","8.0","12","0","2","0","0","0","1","5","17.2","3.4","0.0%"
"133","Ashton Dulin (IND)","2","8","67","33.5","54","1","1","5","45","0","0","15","17.2","1.1","0.0%"
"134","Luke McCaffrey (WAS)","18","24","168","9.3","30","2","0","0","0","0","0","17","16.8","1.0","0.6%"
"135","Jake Bobo (SEA)","13","17","107","8.2","15","0","1","0","0","0","0","17","16.7","1.0","0.3%"
"136","Kevin Austin Jr. (NO)","11","22","151","13.7","23","2","0","1","9","0","0","8","16.0","2.0","0.0%"
"137","Jonathan Mingo (DAL)","17","42","167","9.8","35","2","0","2","5","0","1","16","15.2","1.0","0.1%"
"138","Bo Melton (GB)","8","17","91","11.4","28","1","0","8","54","0","0","17","14.5","0.9","0.0%"
"139","Trent Sherfield Sr. (DEN)","8","10","83","10.4","17","0","1","0","0","0","0","15","14.3","1.0","0.1%"
"140","Tyrell Shavers (BUF)","1","1","69","69.0","69","1","1","0","0","0","0","3","12.9","4.3","0.1%"
"141","Rakim Jarrett (FA)","9","11","124","13.8","30","2","0","0","0","0","0","10","12.4","1.2","0.0%"
"142","Xavier Hutchinson (HOU)","12","26","117","9.8","19","0","0","0","0","0","0","16","11.7","0.7","0.1%"
"143","K.J. Osborn (WAS)","7","18","57","8.1","22","1","1","0","0","0","0","7","11.7","1.7","0.0%"
"144","Tay Martin (WAS)","1","2","49","49.0","49","1","1","0","0","0","0","1","10.9","10.9","0.0%"
"145","Ainias Smith (PHI)","7","9","41","5.9","15","0","1","2","6","0","0","7","10.7","1.5","0.1%"
"146","Jermaine Burton (CIN)","4","14","107","26.8","47","2","0","0","0","0","0","14","10.7","0.8","0.2%"
"147","Simi Fehoko (ARI)","6","16","106","17.7","30","2","0","0","0","0","0","6","10.6","1.8","0.0%"
"148","Mason Tipton (NO)","14","26","99","7.1","15","0","0","0","0","0","0","11","9.9","0.9","0.1%"
"149","Johnny Wilson (PHI)","5","15","38","7.6","9","0","1","0","0","0","0","16","9.8","0.6","0.1%"
"150","Bryce Oliver (TEN)","6","9","95","15.8","33","1","0","0","0","0","0","10","9.5","1.0","0.0%"
"151","Marquise Brown (KC)","9","15","91","10.1","20","1","0","0","0","0","0","2","9.1","4.6","35.6%"
"152","DJ Chark Jr. (FA)","4","10","31","7.8","12","0","1","0","0","0","0","4","9.1","2.3","0.0%"
"153","Parris Campbell (FA)","6","8","30","5.0","7","0","1","0","0","0","0","4","9.0","2.3","0.1%"
"154","Zay Jones (ARI)","8","11","84","10.5","25","1","0","0","0","0","0","11","8.4","0.8","0.1%"
"155","Xavier Gipson (NYJ)","6","10","39","6.5","17","0","1","1","5","0","1","17","8.4","0.5","0.0%"
"156","Ryan Flournoy (DAL)","10","14","102","10.2","26","1","0","0","0","0","1","11","8.2","0.7","0.0%"
"157","Devin Duvernay (CHI)","11","16","79","7.2","28","1","0","4","3","0","0","13","8.2","0.6","0.1%"
"158","Devontez Walker (BAL)","1","3","21","21.0","21","1","1","0","0","0","0","7","8.1","1.2","0.1%"
"159","Kristian Wilkerson (BUF)","2","3","18","9.0","9","0","1","0","0","0","0","1","7.8","7.8","0.0%"
"160","Jalen Reagor (LAC)","7","12","100","14.3","41","2","0","3","-3","0","1","8","7.7","1.0","0.0%"
"161","Chris Conley (FA)","6","12","76","12.7","23","2","0","0","0","0","0","9","7.6","0.8","0.0%"
"162","Brandon Powell (FA)","7","10","71","10.1","13","0","0","0","0","0","0","17","7.1","0.4","0.0%"
"163","Ben Skowronek (PIT)","5","5","69","13.8","23","1","0","0","0","0","0","10","6.9","0.7","0.0%"
"164","Scotty Miller (PIT)","5","9","69","13.8","21","2","0","0","0","0","0","13","6.9","0.5","0.1%"
"165","Jacob Cowing (SF)","4","6","80","20.0","41","1","0","1","7","0","1","15","6.7","0.4","0.1%"
"166","River Cracraft (WAS)","7","9","66","9.4","16","0","0","0","0","0","0","5","6.6","1.3","0.0%"
"167","Michael Woods II (FA)","7","17","65","9.3","16","0","0","0","0","0","0","5","6.5","1.3","0.0%"
"168","Jalin Hyatt (NYG)","8","19","62","7.8","19","0","0","0","0","0","0","16","6.2","0.4","0.2%"
"169","Ihmir Smith-Marsette (NYG)","0","0","0","0","0","0","0","0","0","0","0","15","6.0","0.4","0.1%"
"170","Laviska Shenault Jr. (BUF)","5","5","36","7.2","18","0","0","1","1","0","2","10","5.7","0.6","0.0%"
"171","Odell Beckham Jr. (FA)","9","18","55","6.1","11","0","0","0","0","0","0","8","5.5","0.7","0.2%"
"172","DeAndre Carter (FA)","9","14","72","8.0","14","0","0","0","0","0","1","13","5.2","0.4","0.0%"
"173","Nikko Remigio (KC)","2","6","48","24.0","25","2","0","0","0","0","0","5","4.8","1.0","0.1%"
"174","Tyquan Thornton (KC)","4","8","47","11.8","17","0","0","0","0","0","0","4","4.7","1.2","0.1%"
"175","Charlie Jones (CIN)","1","1","5","5.0","5","0","0","0","0","0","1","8","4.5","0.6","0.1%"
"176","Dee Eskridge (MIA)","3","3","44","14.7","30","1","0","0","0","0","0","6","4.4","0.7","0.0%"
"177","Cody White (SEA)","2","3","44","22.0","28","1","0","0","0","0","0","4","4.4","1.1","0.0%"
"178","Xavier Smith (LAR)","2","2","6","3.0","11","0","0","4","36","0","0","15","4.2","0.3","0.0%"
"179","Tim Jones (MIN)","3","5","41","13.7","20","1","0","0","0","0","0","8","4.1","0.5","0.0%"
"180","Terrace Marshall Jr. (FA)","3","6","41","13.7","28","1","0","0","0","0","0","5","4.1","0.8","0.1%"
"181","Dan Chisena (FA)","3","4","37","12.3","23","1","0","0","0","0","0","6","3.7","0.6","0.0%"
"182","Treylon Burks (TEN)","4","8","34","8.5","13","0","0","2","1","0","0","5","3.5","0.7","0.1%"
"183","Britain Covey (LAR)","7","8","34","4.9","11","0","0","0","0","0","0","5","3.4","0.7","0.0%"
"184","Alex Bachman (LV)","3","3","31","10.3","18","0","0","0","0","0","0","5","3.1","0.6","0.0%"
"185","Allen Robinson II (FA)","3","7","30","10.0","21","1","0","0","0","0","0","6","3.0","0.5","0.0%"
"186","Deven Thompkins (FA)","4","4","20","5.0","12","0","0","2","7","0","0","5","2.7","0.5","0.0%"
"187","David Bell (CLE)","3","3","27","9.0","12","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"188","Anthony Gould (IND)","1","1","23","23.0","23","1","0","0","0","0","0","8","2.3","0.3","0.0%"
"189","Ronnie Bell (DET)","2","6","22","11.0","12","0","0","0","0","0","0","4","2.2","0.6","0.0%"
"190","Malachi Corley (NYJ)","3","6","16","5.3","10","0","0","2","26","0","1","7","2.2","0.3","0.1%"
"191","Jamari Thrash (CLE)","3","7","22","7.3","11","0","0","0","0","0","0","9","2.2","0.2","0.2%"
"192","Austin Trammell (JAC)","2","3","40","20.0","22","1","0","0","0","0","1","1","2.0","2.0","0.0%"
"193","Mason Kinsey (TEN)","2","2","17","8.5","11","0","0","0","0","0","0","6","1.7","0.3","0.0%"
"194","Chris Blair (ATL)","1","2","17","17.0","17","0","0","0","0","0","0","3","1.7","0.6","0.0%"
"195","Anthony Miller (BAL)","1","1","16","16.0","16","0","0","0","0","0","0","2","1.6","0.8","0.0%"
"196","Trenton Irwin (JAC)","3","10","15","5.0","6","0","0","0","0","0","0","6","1.5","0.3","0.0%"
"197","Casey Washington (ATL)","1","2","14","14.0","14","0","0","0","0","0","0","2","1.4","0.7","0.0%"
"198","Javon Baker (NE)","1","4","12","12.0","12","0","0","0","0","0","0","10","1.2","0.1","0.1%"
"199","Isaiah Hodgins (SF)","2","2","12","6.0","7","0","0","0","0","0","0","2","1.2","0.6","0.0%"
"200","Grant DuBose (FA)","2","4","11","5.5","13","0","0","0","0","0","0","2","1.1","0.6","0.0%"
"201","Trent Taylor (SF)","1","1","11","11.0","11","0","0","0","0","0","0","2","1.1","0.6","0.0%"
"202","Kameron Johnson (TB)","0","1","0","0","0","0","0","2","11","0","0","5","1.1","0.2","0.0%"
"203","Brandon Johnson (PIT)","1","1","9","9.0","9","0","0","0","0","0","0","3","0.9","0.3","0.0%"
"204","Kendric Pryor (CIN)","1","1","9","9.0","9","0","0","0","0","0","0","2","0.9","0.5","0.0%"
"205","Ramel Keyton (FA)","1","3","7","7.0","7","0","0","0","0","0","0","3","0.7","0.2","0.0%"
"206","John Ross (FA)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"207","Isaiah Williams (CIN)","2","3","6","3.0","4","0","0","0","0","0","0","8","0.6","0.1","0.0%"
"208","Jaelon Darden (FA)","1","1","6","6.0","6","0","0","0","0","0","0","11","0.6","0.1","0.0%"
"209","Collin Johnson (FA)","1","2","6","6.0","6","0","0","0","0","0","0","6","0.6","0.1","0.0%"
"210","Tyler Scott (CHI)","1","1","5","5.0","5","0","0","0","0","0","0","11","0.5","0.0","0.0%"
"211","Robbie Chosen (SF)","1","4","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"212","James Proche II (TEN)","3","3","21","7.0","14","0","0","0","0","0","1","9","0.1","0.0","0.0%"
"213","Quintez Cephus (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Emeka Egbuka (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83.4%"
"215","Chris Tyree (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"216","D.J. Montgomery (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Daniel Jackson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"218","Tom Kennedy (FA)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"219","Cornelius Johnson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Deonte Harty (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"221","Jalen Guyton (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"222","Traeshon Holden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"223","Ja'Corey Brooks (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"224","Cornell Powell (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Beaux Collins (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"226","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Gunner Olszewski (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Arian Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"229","KJ Hamler (BUF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"230","Seth Williams (LV)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"231","Dez Fitzpatrick (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"232","Trishton Jackson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Scotty Washington (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Rondale Moore (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"236","Justyn Ross (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"237","Julian Hicks (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"238","JaQuae Jackson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"239","Jeshaun Jones (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"240","Terique Owens (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"241","Jaylen Johnson (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"242","John Jiles (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"243","Luther Burden III (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21.9%"
"244","Elic Ayomanor (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"245","Xavier Restrepo (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"246","Jalen Royals (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"247","Drake Stoops (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"248","Da'Quan Felton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
